year,state,state_numeric,urban_percent,cell_per10thous_pop,cell_ban,text_ban,DeathsPerBillionMiles
2010,Pennsylvania,39,42,8993.59082,0,0,13.19662094
2010,Rhode Island,40,76,8740.536133,0,1,7.970802307
2010,South Carolina,41,20,8507.438477,0,0,16.48877335
2010,South Dakota,42,7,8941.511719,0,0,15.79069614
2010,Tennessee,43,39,9758.742188,0,1,14.63681412
2010,Texas,44,44,9158.673828,0,0,12.81109524
2010,Utah,45,43,8144.333008,0,1,8.877112389
2010,Vermont,46,23,7750.810547,0,1,9.796405792
2010,Virginia,47,25,9492.535156,0,1,9.005652428
2010,Washington,48,36,8955.259766,1,1,8.008331299
2010,West Virginia,49,25,8095.007324,0,0,16.40365791
2010,Wisconsin,50,32,8317.235352,0,0,9.626345634
2010,Wyoming,51,11,9332.429688,0,0,16.5548954
2011,Alabama,1,39,9340.500977,0,0,13.77198887
2011,Alaska,2,30,8772.439453,0,1,15.67572403
2011,Arizona,3,42,8533.738281,0,0,13.84810257
2011,Arkansas,4,20,10745.48145,0,1,16.6601181
2011,California,5,48,9244.423828,1,1,8.700561523
2011,Colorado,6,41,9316.376953,0,1,9.590985298
2011,Connecticut,7,79,9364.067383,1,1,7.051904202
2011,Delaware,8,31,9833.15625,1,1,10.9656744
2011,District of Columbia,9,100,21812.43945,1,1,7.567020416
2011,Florida,10,52,9388.933594,0,0,12.49902534
2011,Georgia,11,42,9829.641602,0,1,11.27672195
2011,Hawaii,12,35,9419.483398,0,0,9.934058189
2011,Idaho,13,15,8334.463867,0,0,10.47902393
2011,Illinois,14,50,9866.925781,0,1,8.892417908
2011,Indiana,15,35,8551.583008,0,0,9.805814743
2011,Iowa,16,14,8356.439453,0,1,11.5110445
2011,Kansas,17,15,9232.951172,0,1,12.85756016
2011,Kentucky,18,18,8724.397461,0,1,15.00167084
2011,Louisiana,19,43,11832.11816,0,1,14.51216221
2011,Maine,20,1,8854.167969,0,0,9.545045853
2011,Maryland,21,58,10335.79492,1,1,8.626745224
2011,Massachusetts,22,84,9900.515625,0,1,6.150565147
2011,Michigan,23,47,9354.825195,0,1,9.382163048
2011,Minnesota,24,26,9231.296875,0,1,6.492049694
2011,Mississippi,25,17,8917.204102,0,0,16.21591568
2011,Missouri,26,33,9364.984375,0,0,11.39713383
2011,Montana,27,10,8635.552734,0,0,17.9251461
2011,Nebraska,28,21,8938.257813,0,1,9.479756355
2011,Nevada,29,45,9396.612305,0,0,10.16977882
2011,New Hampshire,30,26,9133.708984,1,1,7.075733185
2011,New Jersey,31,83,10107.51953,1,1,8.578022003
2011,New Mexico,32,15,8116.321777,0,0,13.7620945
2011,New York,33,40,10378.52344,1,1,9.152428627
2011,North Carolina,34,25,9430.014648,0,1,11.82395744
2011,North Dakota,35,5,9357.655273,0,0,16.20914078
2011,Ohio,36,31,9633.648438,0,0,9.072242737
2011,Oklahoma,37,25,9051.807617,0,0,14.66387558
2011,Oregon,38,23,8840.714844,1,1,9.918079376
2011,Pennsylvania,39,44,9088.208008,0,0,12.96316338
2011,Rhode Island,40,86,9102.998047,0,1,8.352920532
2011,South Carolina,41,15,8082.526367,0,0,16.99152374
2011,South Dakota,42,9,8785.533203,0,0,12.33052731
2011,Tennessee,43,39,9955.72168,0,1,13.37081623
2011,Texas,44,45,9250.748047,0,0,12.70216179
2011,Utah,45,48,8263.459961,0,1,9.152750015
2011,Vermont,46,23,8093.469238,0,1,7.701960564
2011,Virginia,47,32,9605.261719,0,1,9.435128212
2011,Washington,48,30,9150.753906,1,1,8.023939133
2011,West Virginia,49,30,8893.133789,0,0,17.77133179
2011,Wisconsin,50,29,8633.055664,0,1,9.939593315
2011,Wyoming,51,28,9363.592773,0,1,14.60263729
2012,Alabama,1,35,9433.799805,0,0,13.31605625
2012,Alaska,2,21,8872.798828,0,1,12.31197643
2012,Arizona,3,45,8810.888672,0,0,13.72041893
2012,Arkansas,4,19,10047.02734,0,1,16.46673012
2012,California,5,48,9362.423828,1,1,8.75650692
2012,Colorado,6,39,9403.224609,0,1,10.09220409
2012,Connecticut,7,63,9519.970703,1,1,7.547323227
2012,Delaware,8,36,9846.34082,1,1,12.41054344
2012,District of Columbia,9,100,22140.58398,1,1,4.19952774
2012,Florida,10,57,9508.960938,0,0,12.66631222
2012,Georgia,11,45,10135.13672,0,1,11.0895586
2012,Hawaii,12,40,9617.09082,0,0,12.53773308
2012,Idaho,13,15,8541.555664,0,0,11.27826118
2012,Illinois,14,53,9987.375,0,1,9.141466141
2012,Indiana,15,26,8850.703125,0,1,9.870432854
2012,Iowa,16,17,9033.285156,0,1,11.55200768
2012,Kansas,17,15,9341.957031,0,1,13.2472105
2012,Kentucky,18,16,9076.765625,0,1,15.75703144
2012,Louisiana,19,46,10643.44629,0,1,15.39805412
2012,Maine,20,0,9058.134766,0,1,11.55025005
2012,Maryland,21,60,10393.29492,1,1,8.941916466
2012,Massachusetts,22,82,10085.54688,0,1,6.2388587
2012,Michigan,23,50,9711.272461,0,1,9.920887947
2012,Minnesota,24,27,9581.458984,0,1,6.931245327
2012,Mississippi,25,28,8898.042969,0,0,15.05154419
2012,Missouri,26,38,9412.173828,0,0,12.05774593
2012,Montana,27,6,8834.581055,0,0,17.24845314
2012,Nebraska,28,21,9027.094727,0,1,10.99781799
2012,Nevada,29,61,9463.810547,1,1,10.68398666
2012,New Hampshire,30,43,9275.257813,1,1,8.376214981
2012,New Jersey,31,84,10169.6748,1,1,7.935291767
2012,New Mexico,32,20,8328.786133,0,0,14.27920341
2012,New York,33,34,10584.93848,1,1,9.109303474
2012,North Carolina,34,25,9213.425781,0,1,12.3106308
2012,North Dakota,35,11,9762.331055,0,1,16.86258507
2012,Ohio,36,38,10004.13672,0,0,9.963171005
2012,Oklahoma,37,28,10328.1416,0,0,14.78949642
2012,Oregon,38,22,9024.574219,1,1,10.1287384
2012,Pennsylvania,39,41,9367.310547,0,0,13.24779415
2012,Rhode Island,40,82,9825.838867,0,1,8.197904587
2012,South Carolina,41,10,9155.914063,0,0,17.59924698
2012,South Dakota,42,9,8999.776367,0,0,14.59378052
2012,Tennessee,43,39,10042.99219,0,1,14.24820232
2012,Texas,44,43,9422.006836,0,0,14.2871666
2012,Utah,45,47,8436.980469,0,1,8.18008709
2012,Vermont,46,12,8274.615234,0,1,10.67123795
2012,Virginia,47,47,9650.780273,0,1,9.597490311
2012,Washington,48,30,9314.178711,1,1,7.822133541
2012,West Virginia,49,22,8612.637695,0,0,17.63257027
2012,Wisconsin,50,33,8796.105469,0,1,10.40832806
2012,Wyoming,51,12,9455.042969,0,1,13.26718616
