StateCode,Age,Year,Weight,Age18,LowIncome,InCollege,After,Georgia,AfterGeorgia,Black
56,19,91,1006,0,1,0,0,0,0,1
56,18,91,1258,1,,0,0,0,0,1
56,19,91,1080,0,,0,0,0,0,0
56,19,91,1383,0,1,0,0,0,0,0
56,18,91,1020,1,1,0,0,0,0,1
56,19,91,942,0,1,1,0,0,0,0
56,18,91,1221,1,1,1,0,0,0,0
56,18,91,1224,1,1,0,0,0,0,1
56,19,91,900,0,1,1,0,0,0,1
56,18,91,931,1,,0,0,0,0,0
56,18,91,1064,1,1,1,0,0,0,0
56,18,91,1114,1,,0,0,0,0,0
56,18,91,1147,1,,0,0,0,0,0
56,18,91,1153,1,,0,0,0,0,0
56,18,91,718,1,1,1,0,0,0,0
56,19,91,1003,0,0,1,0,0,0,1
56,18,91,1124,1,,0,0,0,0,0
56,19,91,952,0,1,0,0,0,0,0
56,18,91,892,1,1,0,0,0,0,0
56,18,92,1246,1,1,0,0,0,0,0
56,19,92,2263,0,1,0,0,0,0,0
56,19,92,1227,0,,0,0,0,0,1
56,19,92,1012,0,,0,0,0,0,0
56,18,92,1000,1,,0,0,0,0,0
56,18,92,992,1,0,1,0,0,0,0
56,19,92,1134,0,1,0,0,0,0,0
56,18,92,1618,1,1,0,0,0,0,0
56,19,92,1039,0,,0,0,0,0,0
56,18,92,1286,1,,0,0,0,0,0
56,19,92,1052,0,1,0,0,0,0,1
56,19,92,1376,0,,0,0,0,0,0
56,19,92,867,0,1,1,0,0,0,0
56,18,92,1280,1,1,0,0,0,0,0
56,18,92,878,1,1,1,0,0,0,0
56,19,92,1056,0,,1,0,0,0,1
56,19,92,883,0,1,1,0,0,0,0
56,18,92,1664,1,,0,0,0,0,0
56,19,92,1558,0,1,1,0,0,0,0
56,18,92,1104,1,0,1,0,0,0,0
56,18,92,1248,1,1,1,0,0,0,0
56,18,92,894,1,1,1,0,0,0,0
56,18,92,1290,1,,1,0,0,0,0
56,19,92,,0,,0,0,0,0,0
56,19,92,1229,0,1,1,0,0,0,0
56,19,92,754,0,0,1,0,0,0,0
56,19,92,752,0,1,0,0,0,0,0
56,18,92,1396,1,1,0,0,0,0,1
56,18,92,1058,1,0,0,0,0,0,0
56,19,92,1228,0,1,0,0,0,0,1
56,18,92,905,1,1,1,0,0,0,0
56,19,92,848,0,,0,0,0,0,0
56,19,92,1591,0,,0,0,0,0,0
56,18,92,950,1,,1,0,0,0,1
56,18,92,1022,1,0,0,0,0,0,0
56,19,92,1349,0,1,0,0,0,0,1
56,18,92,1313,1,0,1,0,0,0,0
56,19,92,1077,0,1,0,0,0,0,1
56,19,92,1148,0,1,0,0,0,0,0
56,18,92,1313,1,1,1,0,0,0,0
56,18,92,1260,1,0,1,0,0,0,0
56,19,92,1669,0,1,0,0,0,0,0
56,18,92,1365,1,0,0,0,0,0,0
56,19,92,1014,0,,0,0,0,0,0
56,19,92,1364,0,1,1,0,0,0,0
56,19,92,1233,0,0,1,0,0,0,0
56,19,92,1469,0,1,1,0,0,0,0
56,19,92,1063,0,1,0,0,0,0,0
56,19,92,952,0,,1,0,0,0,1
56,18,92,1018,1,,0,0,0,0,0
56,19,92,1166,0,1,0,0,0,0,0
56,19,92,1129,0,0,1,0,0,0,0
56,18,92,881,1,1,0,0,0,0,0
56,19,92,1195,0,,0,0,0,0,1
56,19,92,1361,0,1,0,0,0,0,1
56,18,92,1080,1,0,1,0,0,0,0
56,19,92,1017,0,1,0,0,0,0,0
56,18,92,1105,1,1,0,0,0,0,0
56,18,92,995,1,,1,0,0,0,0
56,19,92,877,0,1,0,0,0,0,0
56,19,92,1063,0,1,0,0,0,0,0
56,19,92,1381,0,,0,0,0,0,0
56,19,92,1376,0,,0,0,0,0,0
56,18,92,1451,1,1,0,0,0,0,1
56,18,92,1324,1,1,0,0,0,0,0
56,18,92,1008,1,1,0,0,0,0,0
56,19,92,1244,0,0,1,0,0,0,0
56,19,92,861,0,1,0,0,0,0,1
56,18,92,877,1,0,1,0,0,0,0
56,18,92,1000,1,,0,0,0,0,0
56,18,92,1020,1,1,1,0,0,0,0
56,19,92,1425,0,0,1,0,0,0,0
56,19,92,1417,0,0,1,0,0,0,0
56,19,92,874,0,1,1,0,0,0,1
56,18,92,1020,1,,0,0,0,0,0
56,18,92,1078,1,1,0,0,0,0,1
56,19,92,1200,0,,0,0,0,0,0
56,19,92,1160,0,1,1,0,0,0,0
56,18,92,1267,1,,0,0,0,0,1
56,18,92,846,1,1,1,0,0,0,1
56,19,92,1228,0,0,1,0,0,0,0
56,18,92,1104,1,,0,0,0,0,0
56,19,92,1017,0,1,1,0,0,0,0
56,19,92,974,0,1,0,0,0,0,1
56,19,92,,0,,0,0,0,0,0
56,19,92,1245,0,1,1,0,0,0,0
56,19,92,1219,0,1,1,0,0,0,0
56,18,92,1564,1,,1,0,0,0,0
56,19,92,872,0,,0,0,0,0,0
56,18,92,1521,1,0,1,0,0,0,1
56,18,92,1163,1,1,0,0,0,0,0
56,18,92,1262,1,,0,0,0,0,0
